aiannh_ce,aiannh_ns,aiannh_name,area_type,states
5860,01925069,Tonkawa OTSA,hawaiian_home_land,OK
5890,02419290,Wyandotte OTSA,hawaiian_home_land,OK
5915,01925072,Creek/Seminole joint-use OTSA,hawaiian_home_land,OK
5950,02418647,Kaw/Ponca joint-use OTSA,hawaiian_home_land,OK
5955,02418655,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,hawaiian_home_land,OK
5970,02418712,Miami/Peoria joint-use OTSA,hawaiian_home_land,OK
6015,02418754,Akhiok ANVSA,alaska_native_village,AK
6020,02418755,Akiachak ANVSA,alaska_native_village,AK
6025,02418757,Akiak ANVSA,alaska_native_village,AK
6030,02418758,Akutan ANVSA,alaska_native_village,AK
6035,02418759,Alakanuk ANVSA,alaska_native_village,AK
6040,02418760,Alatna ANVSA,alaska_native_village,AK
6045,02418763,Aleknagik ANVSA,alaska_native_village,AK
6065,02418765,Algaaciq ANVSA,alaska_native_village,AK
6070,02418766,Allakaket ANVSA,alaska_native_village,AK
6075,02418768,Ambler ANVSA,alaska_native_village,AK
6080,02418769,Anaktuvuk Pass ANVSA,alaska_native_village,AK
6095,02418771,Andreafsky ANVSA,alaska_native_village,AK
6100,02418772,Angoon ANVSA,alaska_native_village,AK
6105,02418773,Aniak ANVSA,alaska_native_village,AK
6125,02418774,Anvik ANVSA,alaska_native_village,AK
6140,02418776,Arctic Village ANVSA,alaska_native_village,AK
6150,02418779,Atka ANVSA,alaska_native_village,AK
6160,02418780,Atmautluak ANVSA,alaska_native_village,AK
6165,02418782,Atqasuk ANVSA,alaska_native_village,AK
6175,02418784,Barrow ANVSA,alaska_native_village,AK
6190,02418786,Beaver ANVSA,alaska_native_village,AK
6195,02418788,Belkofski ANVSA,alaska_native_village,AK
6205,02418790,Bethel ANVSA,alaska_native_village,AK
6225,02418793,Bill Moore's ANVSA,alaska_native_village,AK
6235,02418794,Birch Creek ANVSA,alaska_native_village,AK
6240,02418796,Brevig Mission ANVSA,alaska_native_village,AK
6250,02418797,Buckland ANVSA,alaska_native_village,AK
6255,02418800,Cantwell ANVSA,alaska_native_village,AK
6257,02575178,Canyon Village ANVSA,alaska_native_village,AK
6265,02418804,Chalkyitsik ANVSA,alaska_native_village,AK
6275,02418807,Chefornak ANVSA,alaska_native_village,AK
6280,02418808,Chenega ANVSA,alaska_native_village,AK
6285,02418813,Chevak ANVSA,alaska_native_village,AK
6290,02418816,Chickaloon ANVSA,alaska_native_village,AK
6295,02418820,Chignik ANVSA,alaska_native_village,AK
6300,02418821,Chignik Lagoon ANVSA,alaska_native_village,AK
6305,02418823,Chignik Lake ANVSA,alaska_native_village,AK
